Year,Quarter,Region,Model,Units Delivered,Average Price (USD),Production Delay (Days),Battery Type,Drive Type,Color,Range (KM),Charging Time (Min),Efficiency (kWh/100km),CO2 Saved (Tons),Avg Customer Rating,Warranty (Years),Number of Recalls,Software Version,Autopilot Enabled,Total Miles Driven,Update Frequency (Per Year),Battery Replacement Rate,Service Visits (Per Year),Resale Value (%)
2023,Q4,North America,Model X,1996,60597.85,3,Standard,RWD,Green,668,59,13.75,4338.06,4.25,4,1,2021.5,False,113122,11,0.0418,1.64,65.62
2022,Q1,South America,Model X,604,116039.31,34,Performance,AWD,Blue,590,32,20.63,1487.1,3.88,4,2,2020.6,True,969595,11,0.0762,1.17,61.33
2020,Q3,Europe,Semi,3856,118369.63,30,Performance,AWD,Black,382,75,22.31,5457.62,3.94,4,1,2020.6,False,4423350,8,0.099,1.59,67.6
2024,Q2,Asia,Model X,441,108592.85,21,Long Range,AWD,White,573,86,17.8,608.35,4.93,6,1,2023.12,False,3181529,10,0.034,0.67,72.73
2018,Q2,South America,Model X,2681,43720.82,20,Performance,RWD,White,578,68,21.61,2234.05,4.17,8,0,2022.10,False,2403137,12,0.0982,2.4,62.25
2022,Q4,Asia,Cybertruck,1360,115987.1,9,Performance,RWD,Red,414,34,15.83,2434.84,4.04,4,1,2023.6,False,3824032,3,0.0617,1.56,71.94
2022,Q3,Europe,Model S,262,97532.36,31,Performance,RWD,Silver,410,46,22.3,499.92,3.82,6,3,2021.2,True,721193,9,0.0255,1.93,89.92
2024,Q3,Asia,Semi,581,81749.76,18,Long Range,AWD,Green,676,41,22.52,881.67,3.68,5,1,2021.8,True,3127419,10,0.0615,1.43,89.49
2014,Q1,North America,Model X,3311,119965.58,46,Long Range,RWD,Blue,644,34,14.5,3754.86,3.61,8,2,2021.9,True,1182406,8,0.0553,2.24,84.94
2020,Q2,Asia,Model 3,1376,62426.16,45,Standard,RWD,Silver,495,84,13.95,1228.22,4.93,6,1,2022.10,True,4315889,12,0.0252,2.38,64.63
2022,Q3,South America,Model S,282,41903.94,60,Performance,RWD,Green,457,79,19.87,489.61,3.55,6,2,2023.4,False,2595056,9,0.0166,0.62,73.19
2019,Q4,Europe,Model X,1226,61569.51,45,Long Range,RWD,Blue,416,78,17.45,1990.17,3.98,8,0,2022.8,True,1281767,3,0.0146,2.39,85.92
2018,Q2,Europe,Model X,4782,96295.92,12,Standard,RWD,Silver,589,61,23.55,7147.85,3.64,8,3,2021.4,False,508174,2,0.0353,1.7,85.29
2022,Q4,Asia,Cybertruck,116,107009.65,27,Standard,RWD,Green,537,78,17.84,68.5,3.58,5,2,2024.5,True,3340928,10,0.0505,1.6,84.76
2021,Q1,Europe,Model S,3276,66721.86,21,Performance,RWD,Black,451,68,19.11,4914.51,3.57,5,2,2023.9,False,1349404,11,0.0904,0.78,87.94
2017,Q2,Australia,Cybertruck,2501,85466.6,32,Performance,RWD,Green,638,49,18.7,1333.72,4.0,4,3,2024.5,True,4081151,6,0.097,2.07,83.28
2021,Q2,North America,Cybertruck,3985,49493.53,40,Performance,RWD,Black,698,45,13.38,9549.7,3.66,4,3,2022.7,True,3564160,5,0.0469,2.05,87.62
2023,Q1,Europe,Cybertruck,1748,82675.38,42,Long Range,RWD,White,438,59,23.95,2070.78,4.03,6,3,2021.4,False,4781570,6,0.0302,2.45,68.93
2016,Q2,Australia,Model X,3980,64648.27,59,Performance,RWD,White,412,66,21.12,5012.37,4.97,6,1,2022.1,False,762946,7,0.0932,1.81,82.42
2015,Q2,South America,Model X,4654,94174.56,8,Standard,AWD,Black,375,72,23.86,4427.55,3.85,4,3,2022.12,False,943431,12,0.0794,0.51,76.51
2014,Q4,Australia,Model Y,1683,99252.44,18,Long Range,RWD,Green,380,88,22.22,3037.14,3.85,4,1,2023.3,True,3430231,9,0.0268,2.0,86.17
2016,Q1,North America,Model X,4702,86236.55,59,Long Range,RWD,Blue,678,64,19.29,10713.6,3.7,8,2,2021.2,False,1463100,9,0.0683,1.94,60.42
2017,Q3,South America,Semi,1632,49917.07,54,Performance,RWD,Blue,613,50,14.04,3000.45,3.78,5,3,2022.4,True,2287625,8,0.0312,2.01,88.62
2016,Q1,Asia,Semi,2995,93885.33,3,Performance,AWD,Blue,507,40,17.86,4507.6,4.84,6,0,2022.6,True,1938183,4,0.053,1.41,89.67
2017,Q4,South America,Model Y,4453,103169.57,52,Standard,AWD,Green,655,85,22.45,6906.66,4.29,6,0,2024.2,True,4694014,10,0.0282,1.57,64.94
2020,Q4,North America,Semi,1732,95938.03,31,Standard,RWD,Red,582,38,19.16,2448.35,3.59,8,2,2020.7,False,125295,5,0.062,0.59,70.34
2013,Q1,North America,Model Y,309,59402.71,11,Standard,RWD,White,545,58,23.44,714.88,4.06,5,2,2020.3,False,4536252,4,0.0755,0.95,60.1
2012,Q3,Australia,Semi,4510,71050.88,24,Standard,AWD,Blue,527,39,16.31,10710.44,4.59,4,0,2023.10,True,2118855,5,0.0161,1.69,73.39
2022,Q1,Europe,Semi,412,69192.55,14,Performance,AWD,Red,421,62,24.92,398.95,4.87,6,2,2021.5,True,4472570,5,0.0472,1.05,76.7
2021,Q2,Australia,Cybertruck,4110,38985.15,22,Performance,RWD,Silver,513,74,18.0,3281.57,4.06,8,1,2021.5,True,3984136,2,0.0606,2.44,76.72
2014,Q4,Europe,Model X,1715,63072.35,5,Long Range,RWD,Red,624,76,22.95,1034.27,4.07,4,0,2021.10,True,4121450,5,0.0883,1.17,88.71
2012,Q2,Europe,Semi,1011,98484.73,48,Long Range,AWD,Green,659,75,15.45,2355.89,4.33,6,3,2023.9,False,2687233,6,0.0424,2.27,73.98
2024,Q4,Asia,Model 3,3086,61598.37,2,Performance,AWD,Green,424,31,16.13,7312.33,4.37,8,2,2021.4,False,2029536,8,0.0613,0.99,76.52
2022,Q3,Asia,Model Y,4068,74170.46,46,Long Range,AWD,Black,629,61,15.21,9269.87,4.99,4,0,2020.11,True,153551,8,0.0224,1.76,62.04
2014,Q1,Europe,Cybertruck,3785,66722.06,39,Performance,RWD,Green,599,31,13.08,6068.44,3.52,6,2,2020.9,False,1603799,3,0.0926,1.55,67.23
2021,Q3,Asia,Model X,3301,41716.64,25,Long Range,AWD,Green,465,49,21.21,7248.12,4.48,4,0,2023.7,False,4736395,9,0.0151,0.52,65.14
2019,Q4,Asia,Cybertruck,831,111057.25,58,Standard,AWD,Black,640,60,16.25,1951.45,4.53,6,0,2021.6,True,1837768,11,0.023,2.14,84.63
2013,Q3,Europe,Cybertruck,2019,83169.15,54,Long Range,RWD,Blue,421,80,24.86,3933.67,4.25,6,0,2020.7,True,737687,7,0.0645,1.73,77.87
2024,Q3,North America,Semi,2289,101601.59,28,Long Range,AWD,White,633,90,17.51,1994.81,4.38,8,0,2024.5,True,716618,3,0.0341,1.26,83.52
2014,Q4,Asia,Model X,922,42779.24,60,Long Range,RWD,White,488,36,14.59,806.55,4.17,8,0,2020.2,False,4749132,3,0.0637,2.07,85.91
2012,Q3,Australia,Model Y,743,96611.73,35,Standard,AWD,Green,544,40,14.67,818.98,4.24,4,1,2023.5,False,2614504,9,0.0804,1.22,88.33
2023,Q4,South America,Cybertruck,1651,73918.24,8,Long Range,AWD,Blue,520,83,20.44,3480.56,3.99,6,3,2024.3,False,2789934,11,0.0953,0.9,69.43
2018,Q3,Asia,Semi,4072,117259.86,50,Standard,RWD,Blue,493,82,22.43,5008.69,4.9,5,1,2024.1,False,1858658,9,0.0818,2.16,62.07
2024,Q4,Australia,Model 3,2530,55571.8,42,Standard,RWD,Blue,387,58,24.89,3689.93,4.1,8,0,2022.12,True,1017457,5,0.0692,1.21,79.41
2012,Q4,Asia,Model Y,917,35896.56,16,Standard,AWD,Blue,541,55,18.56,1704.8,4.54,5,2,2020.8,True,2578265,8,0.0928,0.67,84.94
2023,Q2,Asia,Model X,2860,73703.27,13,Performance,RWD,White,593,36,18.26,5415.49,3.98,6,0,2020.1,False,1017400,12,0.082,2.36,82.21
2020,Q2,South America,Model 3,2761,82587.16,29,Standard,RWD,Green,444,41,20.69,3766.75,3.54,5,3,2024.7,False,137329,5,0.0285,2.0,84.26
2013,Q1,South America,Model 3,3046,62708.72,29,Standard,RWD,Green,600,63,24.59,3432.26,4.08,8,0,2022.6,False,1547265,12,0.0735,1.09,78.43
2013,Q2,Asia,Model S,2004,60957.3,11,Long Range,AWD,Silver,548,56,20.16,3305.82,4.13,8,1,2024.3,False,2522921,4,0.0268,2.18,78.58
2017,Q1,Australia,Model 3,1648,104293.35,35,Performance,RWD,Blue,700,61,17.99,3592.28,4.23,4,0,2021.5,True,2405633,5,0.0584,0.84,73.72
2023,Q4,South America,Cybertruck,977,83680.69,17,Performance,RWD,Silver,371,78,21.63,1556.07,4.98,4,1,2022.1,False,2304653,7,0.0876,0.67,85.96
2013,Q2,Europe,Semi,4866,93576.35,55,Performance,RWD,Black,665,38,22.42,10350.27,4.71,6,2,2024.9,True,2815003,6,0.036,1.03,85.74
2022,Q1,Europe,Model Y,535,119361.33,55,Performance,AWD,Green,417,45,14.75,612.14,3.87,8,3,2021.10,False,3574771,8,0.0507,1.77,86.4
2013,Q4,South America,Semi,2329,94049.81,56,Long Range,RWD,Blue,517,67,13.03,4770.42,4.6,8,2,2020.9,False,1927289,8,0.0842,1.49,69.69
2016,Q3,South America,Cybertruck,1119,83122.08,31,Long Range,AWD,Red,400,70,22.41,1588.04,3.69,5,3,2023.1,False,1797168,4,0.0894,1.1,86.23
2016,Q1,Asia,Model X,725,66606.72,57,Performance,AWD,Red,552,70,16.67,1376.69,3.85,4,0,2020.4,False,753797,4,0.0634,1.54,73.35
2012,Q3,North America,Model Y,1132,75604.52,14,Long Range,AWD,Green,402,36,16.76,2560.56,3.71,5,1,2020.9,True,1476709,9,0.0416,0.93,82.45
2018,Q4,Europe,Model S,873,46901.12,7,Performance,RWD,White,569,50,22.49,869.14,4.47,5,2,2020.11,False,1823403,10,0.0646,0.88,71.75
2022,Q1,Europe,Model Y,3211,44583.21,31,Performance,AWD,Silver,356,53,24.21,2453.09,4.79,8,2,2024.11,True,4051157,3,0.0115,0.64,67.87
2012,Q1,Australia,Cybertruck,2396,88428.51,32,Long Range,RWD,Green,555,35,20.69,3774.44,3.73,4,2,2020.9,True,1403397,10,0.0394,1.67,82.9
2022,Q1,Asia,Semi,3633,97046.46,54,Standard,AWD,Black,394,89,18.21,5110.7,4.41,6,1,2020.1,True,195215,4,0.0547,1.19,75.52
2023,Q3,Europe,Model X,1089,98730.99,55,Long Range,AWD,Red,521,81,18.15,1685.45,3.89,4,3,2023.9,False,565056,9,0.0873,0.83,64.72
2024,Q1,South America,Semi,994,54414.38,32,Standard,AWD,Red,475,32,18.66,1258.36,3.73,4,3,2021.6,True,3591813,7,0.0344,0.66,71.18
2020,Q1,Europe,Model 3,4275,118420.18,25,Standard,RWD,White,509,50,14.04,6042.68,4.05,6,2,2024.4,False,3189303,11,0.0975,2.5,83.28
2023,Q2,Europe,Model S,3409,37032.37,34,Long Range,AWD,White,350,78,20.89,7493.02,4.59,4,1,2024.4,False,4227437,2,0.0975,0.78,68.39
2012,Q2,South America,Model Y,3101,73968.93,47,Standard,AWD,Silver,418,70,22.84,2014.6,4.35,8,1,2021.5,False,2742486,8,0.0731,1.97,69.54
2016,Q2,North America,Model 3,1165,101294.64,37,Standard,AWD,Red,434,58,18.59,1529.67,4.3,5,3,2022.8,False,1105907,3,0.0242,1.87,84.79
2023,Q1,Europe,Model X,1265,42753.1,15,Long Range,RWD,Silver,375,73,16.59,2707.33,3.76,8,3,2024.12,True,894613,9,0.0192,2.09,63.64
2012,Q2,Europe,Model 3,3331,66640.38,40,Performance,AWD,Silver,650,46,24.01,2165.06,5.0,5,3,2021.2,False,1127836,2,0.0948,0.6,87.72
2018,Q4,Australia,Model S,3185,93073.1,11,Long Range,AWD,Black,490,47,18.35,2539.28,4.42,5,2,2023.7,False,611529,3,0.0352,0.77,65.98
2024,Q2,South America,Model S,3183,101462.84,22,Long Range,RWD,White,639,62,16.86,3313.09,3.54,5,0,2022.1,False,4541199,7,0.079,2.5,89.22
2013,Q2,Europe,Model X,4421,104384.24,58,Performance,AWD,Black,644,84,24.79,5644.93,4.9,5,1,2021.10,False,3109691,11,0.0125,1.9,88.43
2021,Q2,South America,Model 3,4082,81080.59,11,Long Range,AWD,Red,378,44,20.22,2203.69,4.22,6,1,2021.6,True,2814459,2,0.012,1.67,87.52
2024,Q1,South America,Model X,644,66755.22,60,Performance,RWD,Silver,401,51,16.62,497.75,3.74,8,3,2022.3,False,1972649,12,0.063,0.85,69.2
2023,Q3,Europe,Model 3,64,115646.99,60,Performance,RWD,Silver,366,41,20.23,149.89,4.95,5,0,2023.3,False,752689,5,0.0412,1.14,79.09
2013,Q3,Australia,Model S,2222,52823.16,44,Standard,RWD,White,405,76,13.02,2826.1,4.6,5,3,2023.7,False,4680381,8,0.0191,1.46,85.92
2022,Q2,Europe,Model Y,653,102931.54,2,Long Range,AWD,White,483,90,14.26,772.9,4.83,5,0,2024.2,False,4149489,2,0.0488,1.81,78.22
2018,Q2,North America,Model S,2762,52471.79,12,Long Range,RWD,Green,494,49,15.85,1655.19,4.36,8,1,2020.6,True,3687018,3,0.0365,1.82,78.01
2015,Q1,North America,Model 3,1449,89246.21,5,Long Range,AWD,White,553,60,18.87,2640.19,3.64,8,1,2022.7,False,1665171,9,0.014,1.38,67.9
2016,Q1,Europe,Semi,842,42285.12,22,Performance,RWD,Silver,466,65,13.73,1072.89,4.28,8,1,2023.5,True,3411859,2,0.0552,2.3,84.01
2022,Q2,North America,Model Y,1466,115670.23,10,Standard,AWD,Black,371,57,13.94,2735.92,3.8,5,2,2022.12,True,830039,8,0.0601,1.6,85.7
2020,Q4,North America,Semi,4863,79417.77,26,Standard,RWD,Black,425,66,20.06,9807.48,4.91,4,0,2022.9,False,3546795,6,0.0445,1.47,78.27
2012,Q2,Asia,Model Y,1228,87550.78,43,Performance,RWD,Red,552,86,23.55,2309.9,3.57,8,2,2022.1,False,2642209,6,0.0352,1.48,80.89
2013,Q2,Europe,Model X,3679,100792.63,20,Long Range,RWD,Silver,680,35,15.26,3394.91,4.74,8,2,2020.9,True,650435,6,0.0739,1.31,83.42
2020,Q1,Europe,Model 3,1694,106143.02,15,Standard,RWD,Red,534,75,15.39,2094.98,4.2,8,0,2020.4,False,4200240,11,0.0501,2.42,74.24
2020,Q3,Asia,Model 3,2168,98661.7,44,Standard,RWD,Red,547,33,14.95,3565.31,4.95,5,1,2021.5,False,4405715,2,0.0878,2.43,80.47
2019,Q2,Europe,Cybertruck,119,54020.45,38,Long Range,RWD,Blue,542,84,17.18,119.48,4.2,8,0,2020.9,False,4809843,12,0.0634,1.07,80.53
2019,Q1,Asia,Model X,2713,108226.79,16,Performance,RWD,Black,426,63,22.19,6238.2,4.71,8,2,2021.12,True,4272265,6,0.0333,1.34,71.65
2012,Q2,Asia,Semi,1871,93337.04,40,Long Range,RWD,Silver,503,84,15.04,3396.29,4.34,6,0,2023.3,False,4789497,4,0.0952,2.3,79.63
2015,Q3,Europe,Semi,2565,70740.17,56,Long Range,RWD,White,649,48,18.57,1886.72,3.58,4,3,2021.9,True,3301673,10,0.0369,0.61,85.63
2014,Q2,Asia,Model Y,4714,110891.84,29,Standard,RWD,Green,442,79,13.97,5493.03,4.98,6,0,2020.8,False,1856426,4,0.0619,0.82,83.56
2024,Q1,Europe,Cybertruck,3602,88846.44,25,Long Range,RWD,Blue,352,32,19.41,7064.67,4.93,6,1,2020.11,True,2187279,5,0.0724,1.19,63.87
2018,Q3,Europe,Model S,424,60347.19,18,Long Range,RWD,Blue,418,51,24.95,627.67,4.63,5,3,2020.4,True,1200633,5,0.0761,1.68,65.07
2017,Q1,Australia,Semi,2145,100556.22,39,Standard,AWD,Green,405,71,23.03,1279.43,3.67,8,3,2020.9,False,4079524,4,0.0285,1.87,60.28
2018,Q1,South America,Model X,1173,70600.19,57,Standard,AWD,White,408,80,14.28,1052.53,3.8,6,1,2022.12,False,2577585,4,0.0135,1.49,66.23
2019,Q3,Europe,Model S,154,92088.82,58,Standard,RWD,Black,396,79,19.14,299.86,3.65,6,1,2023.5,False,3994640,2,0.019,0.85,61.18
2016,Q3,Asia,Model Y,999,43074.87,48,Standard,AWD,Black,689,71,15.05,1213.84,4.16,6,0,2022.6,True,1054892,8,0.046,1.41,85.07
